query,named_entity,type
Upbeat summer teenage road trip vibe songs?,,
Looking for songs with indian/carnatic-esque strings,,
"Looking for stuff like Gzuz's ""Wolke 7"" album",gzuzs,Artist
"Looking for stuff like Gzuz's ""Wolke 7"" album",wolke 7,WoA
Mad at a girl...,,
"Music similar to Lost Radiance? (modular synth, no drums)",lost radiance,Artist
"Stressful, Harsh, Anxiety inducing electronic music",,
Looking for music i can blast as i drive,,
Looking for music similar to Bright Eyes - At The Bottom of Everything,bright eyes,Artist
Looking for music similar to Bright Eyes - At The Bottom of Everything,at the bottom of everything,WoA
LF songs that will make me feel something,,
songs similar to new light by john mayer?,new light,WoA
songs similar to new light by john mayer?,john mayer,Artist
Alice in Chains fan looking for more.,alice in chains,Artist
I’m looking for more metalcore bands like Amity Affliction,amity affliction,Artist
Any music artist like Nox Arcana,nox arcana,Artist
Looking for new songs here my current playlist,,
Looking for music to listen to while drunk and alone.,,
Anything techno,,
This (big band/ jazz?) cover of P.I.M.P. by 50 Cent is groovy! What is this genre called?,pimp,WoA
This (big band/ jazz?) cover of P.I.M.P. by 50 Cent is groovy! What is this genre called?,50 cent,Artist
Looking for a genre,,
Similar songs to Bonobo - Prelude?,bonobo,Artist
Similar songs to Bonobo - Prelude?,prelude,WoA
Music that sounds like this,,
Looking for hardrock/metal songs with similar sounds,,
Songs similar to the beginning of Change my Heart by Ummet Ozcan ft Laurell,ummet ozcan,Artist
Songs similar to the beginning of Change my Heart by Ummet Ozcan ft Laurell,laurell,Artist
Songs similar to the beginning of Change my Heart by Ummet Ozcan ft Laurell,change my heart,WoA
RECOMMEND SONGS LIKE THESE,,
Music equipment recommendations?,,
Looking for southern gothic inspired bands,,
Songs with spoken word???,,
"Similar vibe to this? Just, comforting songs? I'm not sure how to describe it",,
Instramental Music Similar to Intruxx by Glass Animals,intruxx,WoA
Instramental Music Similar to Intruxx by Glass Animals,glass animals,Artist
Music like Jay Munly,jay munly,Artist
Needing new music suggestions,,
And suggestions for my playlists(its mostly punk rock/ alternative rock and a few others scattered about),,
Prog Metal Suggestions,,
anything similar to Some People Say? Love the dirty beat and the kind of spoken word intro to the drop, some people say,WoA
Looking for music like murder your memory by title fight,murder your memory,WoA
Looking for music like murder your memory by title fight,title fight,Artist
Suggestions about good obsessive love songs?,,
any songs similar to “i wish” by skee-lo (‘95)?, i wish,WoA
any songs similar to “i wish” by skee-lo (‘95)?,skee lo,Artist
Any songs/ artists out there that sound like this? Nice and mellow I love it!,,
Suggestions for songs like LovelyDay by PoptartPete?,lovelyday,WoA
Suggestions for songs like LovelyDay by PoptartPete?,poptartpete,Artist
"I'm looking for some grooves that give you the nostalgic vibe of being an innocent high schooler hanging out with a friend group in the 1970s, before the internet corrupted teen minds",,
"Looking for bands like Thrice, Thursday, The Juliana Theory, Hoobastank, Haste",thrice,Artist
"Looking for bands like Thrice, Thursday, The Juliana Theory, Hoobastank, Haste",thursday,Artist
"Looking for bands like Thrice, Thursday, The Juliana Theory, Hoobastank, Haste",the juliana theory,Artist
"Looking for bands like Thrice, Thursday, The Juliana Theory, Hoobastank, Haste",hoobastank,Artist
"Looking for bands like Thrice, Thursday, The Juliana Theory, Hoobastank, Haste",haste,Artist
Looking for some fast technical bluegrass,,
Songs for a Witch? Warning: Very Nerdy,,
Looking for trippy/fun songs with a repetitive beat,,
Trying to figure out what Genre I'm looking for,,
"Know any music like ""Black Coast - Trndsttr (Lucian Remix)""?",black coast,Artist
"Know any music like ""Black Coast - Trndsttr (Lucian Remix)""?",trndsttr,WoA
"Know any music like ""Black Coast - Trndsttr (Lucian Remix)""?",lucian,Artist
Something akin to any of the last three albums of Brand New.,brand new,Artist
Happy break up songs?,,
Need suggestions for relatively newbie.,,
Looking for Metal songs similar to the below list,,
songs similar to these ones?,,
Song to send to a friend.,,
"Episodic Songs/Songs with ""different bits'.",,
90s songs by Black Women.,,
What should I listen to if I like the album: Paper Mâché Dream Balloon by King Gizzard and the Lizard Wizard?,paper mâché dream balloon,WoA
What should I listen to if I like the album: Paper Mâché Dream Balloon by King Gizzard and the Lizard Wizard?,king gizzard and the lizard wizard,Artist
Looking for songs similar to dark was the night,dark was the night,WoA
Suzi Wu - Error 404,suzi wu,Artist
Suzi Wu - Error 404,error 404,WoA
Songs / bands / albums similar to “Santeria” by Sublime,santeria,WoA
Songs / bands / albums similar to “Santeria” by Sublime,sublime,Artist
Anything similar to All The Pretty Girls by Kaleo?,all the pretty girls,WoA
Anything similar to All The Pretty Girls by Kaleo?,kaleo,Artist
Loading up the bass cannon...fire!,,
Emotional Songs with Female Singers,,
"Looking for recommendations based on a few songs, punk-rock mostly",,
LF songs similar to Tesseract - Luminary,tesseract,Artist
LF songs similar to Tesseract - Luminary,luminary,WoA
Looking for songs with this specific unique effect,,
Looking for similar songs to Hippie Sabotage - High Enough (Halsey Flip),hippie sabotage,Artist
Looking for similar songs to Hippie Sabotage - High Enough (Halsey Flip),high enough | halsey flip,WoA
Looking for a sad song to listen to with my best friend who I won't see again for a long time.,,
Tropical House Hits 2020,,
80s style Synthwave music what artists/songs would I like?,,
Dré Anthony - Bands,dré anthony,Artist
Dré Anthony - Bands,bands,WoA
The electronic vibes,,
What type of music is The Score - Unstoppable? And what other songs might I like?,unstoppable,WoA
Something similar to Highly Suspect self titled,highly suspect,Artist
Suggestions needed,,
Artists like Yung Gravy (upbeat),yung gravy,Artist
"Songs like ""I don't know"" by Paul McCartney?",i dont know,WoA
"Songs like ""I don't know"" by Paul McCartney?",paul mccartney,Artist
"Songs about making money, creating wealth etc. ?",,
"Songs like Green Day's ""Brain Stew?""",green days,Artist
"Songs like Green Day's ""Brain Stew?""",brain stew,WoA
Songs that are dark techno a.k.a killer game music.,,
"I’m looking for more songs/artists that resemble “White Iverson” and “Go Flex” by Post Malone. The chill, melodic vibes of both of those songs are so unique.",white iverson,WoA
"I’m looking for more songs/artists that resemble “White Iverson” and “Go Flex” by Post Malone. The chill, melodic vibes of both of those songs are so unique.",go flex,WoA
"I’m looking for more songs/artists that resemble “White Iverson” and “Go Flex” by Post Malone. The chill, melodic vibes of both of those songs are so unique.",post malone,Artist
More CLASSICAL like this; Frank Zappa - Regyptian Strut -- please no Frank suggestions,frank zappa,Artist
More CLASSICAL like this; Frank Zappa - Regyptian Strut -- please no Frank suggestions,regyptian strut,WoA
More CLASSICAL like this; Frank Zappa - Regyptian Strut -- please no Frank suggestions,frank,Artist
any songs that sound similar to :12~28,,
any suggestions for French singers/ songs like 'VIDEOCLUB'?,videoclub,Artist
Vaboh - i never thought youd be my enemy,vaboh,Artist
Vaboh - i never thought youd be my enemy,i never thought youd be my enemy,WoA
What are some good songs about penance and guilt about the past?,,
Songs like Cigarette - offonoff,cigarette,WoA
Songs like Cigarette - offonoff,offonoff,Artist
Good full albums that tell a story!,,
Looking for psychedelic rock similar to this,,
Looking for some sad black metal,,
I'm having a party and I need some good music.,,
"Song suggestions that are powerful, guteral, and utterly primal. Ones that drop your balls through the floor, elevate testosterone levels through the sky, and eviscerate your larynx through the sheer power of your chants.",,
Know any songs with nonsense lyrics or are good while studying?,,
Song with the sane upbeat vibes as this Kanye excerpt with African choir,kanye,Artist
songs or bands that sound similar to this?,,
"Any albums similar to ""in the aeroplane over the sea"" and or ""the glow pt 2""?",in the aeroplane over the sea,WoA
"Any albums similar to ""in the aeroplane over the sea"" and or ""the glow pt 2""?",the glow pt 2,WoA
Looking for songs about water or fire similar to these...,,
"Into Ben&Ben songs, any recommendations for similar genre/music style?",ben&ben,Artist
Tragedy music?,,
suggest some music like $uicideboy$,$uicideboy$,Artist
"Looking for songs that sound similar to ""The Crystal Method - Smile""",the crystal method,Artist
"Looking for songs that sound similar to ""The Crystal Method - Smile""",smile,WoA
Similar artists to AlicebanD ?,aliceband,Artist
Songs with epic kinda opera-like vocals?,,
Roadtrip music suggestions?,,
Help needed finding similar bops. I love the sounds and need to find a genre to classify this as.,,
Songs similar to Jai Paul - Jasmine,jai paul,Artist
Songs similar to Jai Paul - Jasmine,jasmine,WoA
What artists are similar to Agnes Obel,agnes obel,Artist
I'm looking for similar music like this one. :),,
need songs like icon by jaden smith,icon,WoA
need songs like icon by jaden smith,jaden smith,Artist
Back again for band suggestions,,
Recommendations for music similar to Roy Orbison’s 80’s albums?,roy orbisons,Artist
Bittersweet songs about giving up?,,
Recommend a genre or similar songs that match the Austin Powers verse from ERB,austin powers,WoA
Recommend a genre or similar songs that match the Austin Powers verse from ERB,erb,WoA
Songs with production similar to BabyJake- Cigarettes on Patios,babyjake,Artist
Songs with production similar to BabyJake- Cigarettes on Patios,cigarettes on patios,WoA
Music similiar to Frank Ocean - Blonde?,blonde,WoA
Music similiar to Frank Ocean - Blonde?,frank ocean,Artist
Songs Similar to these Three songs?,,
Musicians like Akira Yamaoka?,akira yamaoka,Artist
KPOP SONGS THAT DEFINE 2018,,
Is there any similar Music with acoustic guitar strumming like this?,,
Sounds like Hypnotized by Fleetwood Mac/Help on the Way by Grateful Dead?,hypnotized,WoA
Sounds like Hypnotized by Fleetwood Mac/Help on the Way by Grateful Dead?,fleetwood mac,Artist
Sounds like Hypnotized by Fleetwood Mac/Help on the Way by Grateful Dead?,help on the way,WoA
Sounds like Hypnotized by Fleetwood Mac/Help on the Way by Grateful Dead?,grateful dead,Artist
Looking for swing style music,,
Help for a playlist!,,
How do you call music with like japanese / eastern elements? Like nice chill beats but with the eastern elements / vibes to it. Or with arabic vibes. I tried several times looking for it but can't really find the good stuff.,,
What are some good songs to listen to specifically at night?,,
Looking for some rather specific love/romantic songs.,,
What other music would i like,,
suggest music that is similar to what is found on the O' Brother Where Art Thou? soundtrack?,o brother where art thou,WoA
Songs like Cute Aggression by Nicole Dollanganger or Kill V Main by Grimes?,cute aggression,WoA
Songs like Cute Aggression by Nicole Dollanganger or Kill V Main by Grimes?,nicole dollanganger,Artist
Songs like Cute Aggression by Nicole Dollanganger or Kill V Main by Grimes?,kill v main,WoA
Songs like Cute Aggression by Nicole Dollanganger or Kill V Main by Grimes?,grimes,Artist
Song for when you know you're not right for each other but you still love them?,,
Looking for more super deep beats like this (starting around 2:35),,
Similar Voices To Gin Wigmore and Paloma Faith,gin wigmore,Artist
Similar Voices To Gin Wigmore and Paloma Faith,paloma faith,Artist
What music suggestions would you give based on this?,,
Some cool ambientish music,,
Any songs that have a similar melody to negative space by spineshank?,negative space,WoA
Any songs that have a similar melody to negative space by spineshank?,spineshank,Artist
Something like pretty vicious or gorillaz,pretty vicious,Artist
Something like pretty vicious or gorillaz,gorillaz,Artist
Suggest music like this please ! From time 3:30 to 4:30,,
Any song or artist suggestions with a similar sound to this?,,
Gospel rap and R&B,,
"Songs similar to “Black” from Breaking Bad - by Dangermouse, Danielle Luppi, ft. Norah Jones",breaking bad,WoA
"Songs similar to “Black” from Breaking Bad - by Dangermouse, Danielle Luppi, ft. Norah Jones",black,WoA
"Songs similar to “Black” from Breaking Bad - by Dangermouse, Danielle Luppi, ft. Norah Jones",dangermouse,Artist
"Songs similar to “Black” from Breaking Bad - by Dangermouse, Danielle Luppi, ft. Norah Jones",danielle luppi,Artist
"Songs similar to “Black” from Breaking Bad - by Dangermouse, Danielle Luppi, ft. Norah Jones",norah jones,Artist
Looking for songs similar to this one? Loving this genre atm.,,
Any songs kinda like One More Light and Heavy by Linkin Park?,one more light,WoA
Any songs kinda like One More Light and Heavy by Linkin Park?,heavy,WoA
Any songs kinda like One More Light and Heavy by Linkin Park?,linkin park,Artist
Lester P - Astro Girl,astro girl,WoA
Lester P - Astro Girl,lester p,Artist
suggestions for songs similar to the following:,,
Songs like Night Traveler - Don't Forget Me?,night traveler,Artist
Songs like Night Traveler - Don't Forget Me?,dont forget me,WoA
Looking for non atmospheric Amen break DnB,,
Songs like this bass-y lofi violin track,,
Songs that sound like this. The Replacements - Androgynous,the replacements,Artist
Songs that sound like this. The Replacements - Androgynous,androgynous,WoA
A song similar in style to Wilbur Soot’s music,wilbur soots,Artist
"I need heavy metal love songs, if gendered then preferably about women",,
Song similar to Box of Rain or Ripple by the Grateful Dead?,box of rain,WoA
Song similar to Box of Rain or Ripple by the Grateful Dead?,grateful dead,Artist
Song similar to Box of Rain or Ripple by the Grateful Dead?,ripple,WoA
Looking for flute and or drum music with an old West style,,
looking for high momentum EDM/Synthwave songs,,
"Looking for mysterious, electronic ambient songs",,
Drugs by Lil Aaron,drugs,WoA
Drugs by Lil Aaron,lil aaron,Artist
Songs With Saxophone solos/instrumentals,,
Any good songs like Major Lazer's Light It Up remix?,major lazers,Artist
Any good songs like Major Lazer's Light It Up remix?,light it up,WoA
Music with clever word play,,
Looking for songs with heavy Ancient Greek references or mythological undertones,,
Need suggestions for some new stuff,,
What genre would you call this (the two guys duet and guitar thing)? And are there any similar English songs?,,
any bands similar to Morphine?,morphine,Artist
Looking for rock/metal music with japanese lyrics (no weeb trash pls),,
"Music with the similar feel as ""Remember me""",remember me,WoA
"Trip-Hop , Acid Jazz or Downtempo songs with a female vocalist",,
any other songs that sound like this,,
"suggest something similar to ""mansionz - I'm Thinking About Horses""?",mansionz,Artist
"suggest something similar to ""mansionz - I'm Thinking About Horses""?",im thinking about horses,WoA
Preferably instrumental music like this...?,,
Help me add good driving songs for my Ireland Trip!,,
cal scruby - kiiara,kiiara,WoA
cal scruby - kiiara,cal scruby,Artist
Tame Impala Elephant.,tame impala,Artist
Tame Impala Elephant.,elephant,WoA
What's the genre of music of these 2 songs?,,
Anfa Rose - I'm Good (Prod. DOPAM!NE),anfa rose,Artist
Anfa Rose - I'm Good (Prod. DOPAM!NE),im good,WoA
Anfa Rose - I'm Good (Prod. DOPAM!NE),dopamne,Artist
"If my two favourite songs are Where Is My Mind by The Pixies, and Mayonaise by The Smashing Pumpkins, what song I would love ?",where is my mind,WoA
"If my two favourite songs are Where Is My Mind by The Pixies, and Mayonaise by The Smashing Pumpkins, what song I would love ?",the pixies,Artist
"If my two favourite songs are Where Is My Mind by The Pixies, and Mayonaise by The Smashing Pumpkins, what song I would love ?",mayonaise,WoA
"If my two favourite songs are Where Is My Mind by The Pixies, and Mayonaise by The Smashing Pumpkins, what song I would love ?",the smashing pumpkins,Artist
"Songs similar to ""Saltwater"" by Chicane?",saltwater,WoA
"Songs similar to ""Saltwater"" by Chicane?",chicane,Artist
[pop/indie/oldies] Which songs resonate the most on those cool summer days when it's windy and partly cloudy?,,
Trying to find older tunes that give off a summer vibe,,
Are there any songs with a clarinet solo like this,,
"I'm in love with that 80's sounding music (think Stranger Things, Driver), but I'm not sure how to find more. What might you suggest?",stranger things,WoA
"Request: Songs that are lyrically soothing and accepting of death, past events, homesickness, loneliness, solitude.",,
melodic and melancholic,,
Looking for songs similar to Childhood by Subculture Sage.,childhood,WoA
Looking for songs similar to Childhood by Subculture Sage.,subculture sage,Artist
I’m looking for songs about inner strength and being strong overcoming a bad day or bad times,,
Exciting rap music that has an intense beat.,,
Music with this kind of vocal?,,
Video game background music?,,
Looking for Punchy bass songs,,
My best friend/boyfriend/soulmate killed himself st. Patrick's day. Any songs to help me feel it?,,
"Please suggest similar songs (Alessia Cara, Astrid S, Daya, Flume, Hailee Steinfeld, Julia Michaels, Kiiara, MØ, Zara Larsson)",mø,Artist
"Please suggest similar songs (Alessia Cara, Astrid S, Daya, Flume, Hailee Steinfeld, Julia Michaels, Kiiara, MØ, Zara Larsson)", zara larsson,Artist
"Please suggest similar songs (Alessia Cara, Astrid S, Daya, Flume, Hailee Steinfeld, Julia Michaels, Kiiara, MØ, Zara Larsson)",alessia cara,Artist
"Please suggest similar songs (Alessia Cara, Astrid S, Daya, Flume, Hailee Steinfeld, Julia Michaels, Kiiara, MØ, Zara Larsson)", astrid s,Artist
"Please suggest similar songs (Alessia Cara, Astrid S, Daya, Flume, Hailee Steinfeld, Julia Michaels, Kiiara, MØ, Zara Larsson)",daya,Artist
"Please suggest similar songs (Alessia Cara, Astrid S, Daya, Flume, Hailee Steinfeld, Julia Michaels, Kiiara, MØ, Zara Larsson)",flume,Artist
"Please suggest similar songs (Alessia Cara, Astrid S, Daya, Flume, Hailee Steinfeld, Julia Michaels, Kiiara, MØ, Zara Larsson)",hailee steinfeld,Artist
"Please suggest similar songs (Alessia Cara, Astrid S, Daya, Flume, Hailee Steinfeld, Julia Michaels, Kiiara, MØ, Zara Larsson)", julia michaels,Artist
"Please suggest similar songs (Alessia Cara, Astrid S, Daya, Flume, Hailee Steinfeld, Julia Michaels, Kiiara, MØ, Zara Larsson)",kiiara,Artist
Emotional songs that 'build up' throughout?,,
"Music for creeping around in the dark, like a weirdo.",,
Looking for some dark and grimy hip-hop,,
folk lo-fi suggestions? very specific,,
looking for music like this,,
Music similar to The Black Skirts - Everything?,black skirts,Artist
Music similar to The Black Skirts - Everything?,everything,WoA
Need some chill music with unconventional instruments,,
Any Songs like Slow Dancing in A Burning Room by John Mayers?,slow dancing in a burning room,WoA
Any Songs like Slow Dancing in A Burning Room by John Mayers?,john mayers,Artist
Anything similar to this,,
Tradition/Fluer De Lis - RDGLDGRN,rdgldgrn,Artist
Tradition/Fluer De Lis - RDGLDGRN,tradition,WoA
Tradition/Fluer De Lis - RDGLDGRN, fluer de lis,WoA
"Any songs like ""What's up danger"" from Into the Spider-verse",whats up danger,WoA
"Any songs like ""What's up danger"" from Into the Spider-verse",into the spider verse,WoA
Any artists simular to Kealy?,kealy,Artist
I love Old Town Road and The Git up. Haven't found anything similar.,old town road,WoA
I love Old Town Road and The Git up. Haven't found anything similar.,the git up,WoA
Looking for songs that give summer vibes,,
Looking for post-pop punk albums released within the power 3 years,,
Similar songs to Candy Castle by Glass Candy,candy castle,WoA
Similar songs to Candy Castle by Glass Candy,glass candy,Artist
Slowdance-suitable music about rejection?,,
Songs similar to Sweet Life by Frank Ocean and The Palisades by Childish Gambino,sweet life,WoA
Songs similar to Sweet Life by Frank Ocean and The Palisades by Childish Gambino,frank ocean,Artist
Songs similar to Sweet Life by Frank Ocean and The Palisades by Childish Gambino,the palisades,WoA
Songs similar to Sweet Life by Frank Ocean and The Palisades by Childish Gambino,childish gambino,Artist
Similar songs to KAMI,kami,Artist
any songs like ‘Are You In The Mood?’ by Bay Faction??,are you in the mood,WoA
any songs like ‘Are You In The Mood?’ by Bay Faction??,bay faction,Artist
recommend me more music like this? Amazing whatever genre this is!,,
Looking for something similar to Swans,swans,Artist
looking for sad lovesongs,,
Looking for music like a specific song...,,
Anything pls,,
Please help me find more songs like this,,
"Seeking anthems. Quite or loud, all it has to do is be epic and make you stop what you're doing and listen. All genres and artists welcome, U2 to Gloria Gaynor to Queen to Monica. What makes you pump your fist?",u2,Artist
"Seeking anthems. Quite or loud, all it has to do is be epic and make you stop what you're doing and listen. All genres and artists welcome, U2 to Gloria Gaynor to Queen to Monica. What makes you pump your fist?",gloria gaynor,Artist
"Seeking anthems. Quite or loud, all it has to do is be epic and make you stop what you're doing and listen. All genres and artists welcome, U2 to Gloria Gaynor to Queen to Monica. What makes you pump your fist?",queen,Artist
"Seeking anthems. Quite or loud, all it has to do is be epic and make you stop what you're doing and listen. All genres and artists welcome, U2 to Gloria Gaynor to Queen to Monica. What makes you pump your fist?",monica,Artist
Metal/hard rock with female lead vocalists,,
Juice WRLD - Motions (999),motions,WoA
Juice WRLD - Motions (999),juice wrld,Artist
Looking for music similar to “Gary Bartz Ntu Troop - Celestial Blues”,gary bartz ntu troop,Artist
Looking for music similar to “Gary Bartz Ntu Troop - Celestial Blues”,celestial blues,WoA
Looking for bogan music,bogan,WoA
Music that is about admiration of a woman?,,
chill bops for my playlist,,
"I hate most rap and hip-hop, but want to get more into the genre",,
Alternative R&B music,,
Looking for rap/gospel/orchestral/funk blends!,,
"Looking for rock/indie albums that are spacey , melodic and atmospheric with bluesy electric guitars?",,
Looking for some sad bluesy guitar tracks,,
"Songs/Bands similar to Sales -getting it on, off and on and Porches -mood",sales,Artist
"Songs/Bands similar to Sales -getting it on, off and on and Porches -mood",getting it on,WoA
"Songs/Bands similar to Sales -getting it on, off and on and Porches -mood",off and on,WoA
"Songs/Bands similar to Sales -getting it on, off and on and Porches -mood",porches,Artist
"Songs/Bands similar to Sales -getting it on, off and on and Porches -mood",mood,WoA
"Looking for more metal bands/songs like ""Make Them Suffer""?", make them suffer,Artist
Youngblood by 5 seconds of summer,youngblood,WoA
Youngblood by 5 seconds of summer,5 seconds of summer,Artist
I wanted a list of songs based on nihilism or death,,
Music like Dexy Midnight Runner's 'Come on Eileen' and Men at Work's 'Land Down Under',dexy midnight runners,Artist
Music like Dexy Midnight Runner's 'Come on Eileen' and Men at Work's 'Land Down Under',come on eileen,WoA
Music like Dexy Midnight Runner's 'Come on Eileen' and Men at Work's 'Land Down Under',men at works,Artist
Music like Dexy Midnight Runner's 'Come on Eileen' and Men at Work's 'Land Down Under',land down under,WoA
Japanese Folk Rock or Folk Metal Instrumentals,,
"Songs like ""Cherokee"" by Kamasi Washington",cherokee,WoA
"Songs like ""Cherokee"" by Kamasi Washington",kamasi washington,Artist
Catchy Japanese tune...,,
Looking for something by a contemporary artist with an Amy Winehouse feel...,amy winehouse,Artist
Similar songs to this? Quiet with slow melody. Quake OST,quake,WoA
Looking for love songs that aren't shallow,,
Music that sounds or compliments rain?,,
Songs Similar in Sound to the live versions of Who Will Save Your Soul by Jewel,who will save your soul,WoA
Songs Similar in Sound to the live versions of Who Will Save Your Soul by Jewel,jewel,Artist
Trying to find songs with a similar tone and sound to the Metallica All within my hands acoustic shows,metallica,Artist
Trying to find songs with a similar tone and sound to the Metallica All within my hands acoustic shows,all within my hands,WoA
What Wu Tang album to go listen to after 36 chambers?,wu tang,Artist
What Wu Tang album to go listen to after 36 chambers?,36 chambers,WoA
Looking for more Ambient Electronic like this,,
Songs similar to The look by roxette,the look,WoA
Songs similar to The look by roxette,roxette,Artist
Suggest songs like...,,
Looking for energetic chiptune,,
Very specific request. One-sided love-related. Help appreciated,,
Any Remixed Rap songs like this one that I should give a listen?,,
Looking for songs similar to this 'Lexa Terrestrial' mix. Moreso the beat than lyrics.,lexa terrestrial,Artist
Music similiar to LEMMiNO - Infinity,lemmino,Artist
Music similiar to LEMMiNO - Infinity,infinity,WoA
Looking for music similar to some of the songs on the soundtrack of the show Dark,dark,WoA
Looking for more like this JAM from GTA Vice City ('Yo Te Miré'),gta vice city,WoA
Looking for more like this JAM from GTA Vice City ('Yo Te Miré'),yo te miré,WoA
Tropical House Chill House,,
I love this track but don't know where/what genre to look for...,,
Suits Soundtrack and similar music,suits,WoA
"got any recommendations rap,metal, hip-hop,pop, hard rock or rock songs",,
"Kate bush and Ivan Neville suggestions, specific to two songs.",kate bush,Artist
"Kate bush and Ivan Neville suggestions, specific to two songs.",ivan neville,Artist
Sorta synthwave-ish (more info in body),,
Sad screamo songs?,,
Drizzly Sunday type songs,,
songs with vague or confusing lyrics,,
Ambient music like this?,,
"Creepy/sexy songs like ""All Time Low"" NIN?",all time low,WoA
"Creepy/sexy songs like ""All Time Low"" NIN?",nin,Artist
More Music Variety Similar To..,,
Need a suggestions of instrumentals that will hype you up,,
Motley Crue - Kickstart My Heart,motley crue,Artist
Motley Crue - Kickstart My Heart,kickstart my heart,WoA
Something similar to Agar Agar - Prettiest Virgin (bass synth),agar agar,Artist
Something similar to Agar Agar - Prettiest Virgin (bass synth),prettiest virgin,WoA
Metal or Rock music associated with traditional instruments,,
"Any band/solo artist whose main instrument is the bass guitar instead of the guitar? As in, the bass replaces the guitar.",,
"New / modern rock that isn't angry, emo, hipstery or trying to sound electronic/pop/hip hop",,
Songs like Trampoline by SHAED or I feel like I'm drowning by Two feet?,trampoline,WoA
Songs like Trampoline by SHAED or I feel like I'm drowning by Two feet?,shaed,Artist
Songs like Trampoline by SHAED or I feel like I'm drowning by Two feet?,i feel like im drowning,WoA
Songs like Trampoline by SHAED or I feel like I'm drowning by Two feet?,two feet,Artist
Kikagaku Moyo - Masana Temples,masana temples,WoA
Kikagaku Moyo - Masana Temples,kikagaku moyo,Artist
"I liked Bowie's ""Blackstar."" What should I listen to next?",bowies,Artist
"I liked Bowie's ""Blackstar."" What should I listen to next?",blackstar,WoA
Looking for songs similar to the new guilty gear theme,guilty gear,WoA
"I like Best Part by H.E.R, Drifting Away by khai dreams, and drowning. by EDEN. Looking for newer maybe underrated artists with a similar style, but any suggestion is appreciated!",khai dreams,Artist
"I like Best Part by H.E.R, Drifting Away by khai dreams, and drowning. by EDEN. Looking for newer maybe underrated artists with a similar style, but any suggestion is appreciated!",best part,WoA
"I like Best Part by H.E.R, Drifting Away by khai dreams, and drowning. by EDEN. Looking for newer maybe underrated artists with a similar style, but any suggestion is appreciated!",her,Artist
"I like Best Part by H.E.R, Drifting Away by khai dreams, and drowning. by EDEN. Looking for newer maybe underrated artists with a similar style, but any suggestion is appreciated!",drifting away,WoA
"I like Best Part by H.E.R, Drifting Away by khai dreams, and drowning. by EDEN. Looking for newer maybe underrated artists with a similar style, but any suggestion is appreciated!",drowning,WoA
"I like Best Part by H.E.R, Drifting Away by khai dreams, and drowning. by EDEN. Looking for newer maybe underrated artists with a similar style, but any suggestion is appreciated!",eden,Artist
"Some good “house” music? I don’t really listen to any, and idk any popular artists other than Zedd.",zedd,Artist
60s/70s Lyric-driven,,
Old joji/Pink Guy sounding dudes,joji,Artist
Old joji/Pink Guy sounding dudes,pink guy,Artist
"More sad, drunk country punk like Spider Bags first album",spider bags,Artist
Looking for similar music to the Detroit: Become Human OST.,detroit become human,WoA
"Instrumental Heavy Metal / Industrial? (Style similar to Tool, NIN, Gravity Kills)",tool,Artist
"Instrumental Heavy Metal / Industrial? (Style similar to Tool, NIN, Gravity Kills)",nin,Artist
"Instrumental Heavy Metal / Industrial? (Style similar to Tool, NIN, Gravity Kills)",gravity kills,Artist
New music recommendations based on 15 songs I like?,,
"Music Similar to ""My Body is a Cage"" by Arcade Fire",my body is a cage,WoA
"Music Similar to ""My Body is a Cage"" by Arcade Fire",arcade fire,Artist
Looking for wistful/melancholy/peaceful instrumental music,,
Music similar to The Dark Side of Phobos?,the dark side of phobos,WoA
"Warm and ambient, but with the spaciousness and 'night' feel of dark jazz?",,
Looking for artists that produce music like the song 'About Her' from Kill Bill Vol. 2,kill bill,WoA
I need some french songs that bop - similar to amour plastique - videoclub,amour plastique,WoA
I need some french songs that bop - similar to amour plastique - videoclub,videoclub,Artist
Need more songs like this.,,
Songs similar to Move - Sleepy Tom,move,WoA
Songs similar to Move - Sleepy Tom,sleepy tom,Artist
similar songs like dis?,,
Looking for music similar to this artist/song. Moses Sumney-Plastic,plastic,WoA
Looking for music similar to this artist/song. Moses Sumney-Plastic,moses sumney,Artist
Hip hop vocals with a funk style beat?,,
Creepy music?,,
Songs like TV On The Radio - DLZ,tv on the radio,Artist
Songs like TV On The Radio - DLZ,dlz,WoA
"Looking for some slick, dark, funky rock. The song that inspired this question was actually I Might be Wrong by Radiohead.",i might be wrong,WoA
"Looking for some slick, dark, funky rock. The song that inspired this question was actually I Might be Wrong by Radiohead.",radiohead,Artist
Symphonic/Power Metal with Crisp (intelligible) Vocals?,,
"Looking for a song in similar structure to ""Grave of the Fireflies - Home Sweet Home""",grave of the fireflies,WoA
"Looking for a song in similar structure to ""Grave of the Fireflies - Home Sweet Home""",home sweet home,WoA
"Looking for songs with similar sounds to guitar(?) at start of song (0:12), (0:18)",,
Looking for new wave/alt rock/indie/punk rock songs,,
Help me find a genre that is country + synth ?,,
Looking for sad/emotional rock or metal,,
What's some good country music that isn't about trucks and cold beers?,,
Hip Hop Instrumental Beats,,
ALL OFF - Refrain Boy,refrain boy,WoA
ALL OFF - Refrain Boy,all off,Artist
Looking for suggestions for rap/hip-hop songs that don't have a too negative a theme or aren't explicit,,
Artists similar to Noisia or Tiësto?,noisia,Artist
